epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28234,0.96332,2.29145,0.01334,0.89665,0.65566,0.90416,0.66896,1.58082,0.9661,0.01154,0,0,0
2,8.04214,1.16864,2.44315,0.01394,0.89648,0.65805,0.90242,0.66861,1.57936,0.96655,0.01151,1.17822e-06,1.17822e-06,1.17822e-06
3,11.6908,0.98387,2.76437,0.02108,0.87835,0.66743,0.90236,0.66648,1.57681,0.96901,0.01147,2.33288e-06,2.33288e-06,2.33288e-06
4,15.6173,1.41442,2.22867,0.02985,0.87545,0.67608,0.90595,0.66777,1.57714,0.96822,0.01144,3.46397e-06,3.46397e-06,3.46397e-06
5,19.6369,1.34444,2.99402,0.02152,0.88176,0.67684,0.90599,0.66914,1.52097,1.05258,0.01101,4.5715e-06,4.5715e-06,4.5715e-06
6,23.8929,1.10312,2.01709,0.01418,0.84441,0.67131,0.90239,0.6687,1.51279,1.08275,0.01091,5.65548e-06,5.65548e-06,5.65548e-06
7,28.1269,1.28154,2.80496,0.01222,0.86167,0.67737,0.90636,0.66248,1.55748,1.05338,0.01138,6.71588e-06,6.71588e-06,6.71588e-06
8,32.4525,1.01361,2.21468,0.01029,0.86573,0.67783,0.90239,0.66558,1.55786,1.05632,0.01133,7.75273e-06,7.75273e-06,7.75273e-06
9,36.5958,1.18641,3.26842,0.01687,0.85339,0.68159,0.9023,0.68209,1.55336,1.05842,0.01128,8.76602e-06,8.76602e-06,8.76602e-06
10,40.5932,1.08718,2.34931,0.0103,0.84377,0.68539,0.89935,0.67946,1.54939,1.06246,0.01122,9.75574e-06,9.75574e-06,9.75574e-06
11,44.7172,1.17636,2.73181,0.01453,0.96601,0.61994,0.89731,0.67571,1.55523,1.0976,0.01129,1.07219e-05,1.07219e-05,1.07219e-05
12,48.7442,0.94495,2.14038,0.01074,0.83548,0.68704,0.89688,0.67643,1.54811,1.07026,0.01116,1.16645e-05,1.16645e-05,1.16645e-05
13,52.6167,0.99188,1.99514,0.01592,0.83689,0.68692,0.89505,0.67338,1.54341,1.07967,0.01109,1.25835e-05,1.25835e-05,1.25835e-05
14,56.8522,1.17657,2.20464,0.01464,0.97021,0.61882,0.89356,0.67261,1.52732,1.09907,0.01088,1.3479e-05,1.3479e-05,1.3479e-05
15,61.5071,1.03759,1.85126,0.01299,0.83441,0.68486,0.89503,0.66717,1.52401,1.09247,0.01079,1.43509e-05,1.43509e-05,1.43509e-05
16,66.1236,1.07795,2.50774,0.02331,0.84002,0.68629,0.88717,0.67151,1.51746,1.08596,0.01064,1.51993e-05,1.51993e-05,1.51993e-05
17,70.3807,1.09055,2.40645,0.01493,0.83763,0.68637,0.8882,0.68684,1.51786,1.08983,0.01057,1.60241e-05,1.60241e-05,1.60241e-05
18,74.3784,1.21366,2.19991,0.01607,0.83763,0.68637,0.8882,0.68684,1.51786,1.08983,0.01057,1.68253e-05,1.68253e-05,1.68253e-05
19,78.9788,1.09312,1.89758,0.01188,0.83884,0.6859,0.88751,0.6856,1.51209,1.11003,0.01036,1.7603e-05,1.7603e-05,1.7603e-05
20,83.4927,1.07648,1.86588,0.0161,0.83884,0.6859,0.88751,0.6856,1.51209,1.11003,0.01036,1.83571e-05,1.83571e-05,1.83571e-05
21,87.8635,1.25278,2.85431,0.02295,0.85276,0.68608,0.88725,0.68546,1.50938,1.12629,0.01026,1.90876e-05,1.90876e-05,1.90876e-05
22,91.9708,0.94593,1.89331,0.0157,0.85276,0.68608,0.88725,0.68546,1.50938,1.12629,0.01026,1.97946e-05,1.97946e-05,1.97946e-05
23,95.9699,1.53609,2.32533,0.01764,0.84081,0.68546,0.88699,0.68406,1.50776,1.13187,0.01023,2.0478e-05,2.0478e-05,2.0478e-05
24,99.8979,1.20047,1.89062,0.01459,0.84081,0.68546,0.88699,0.68406,1.50776,1.13187,0.01023,2.11379e-05,2.11379e-05,2.11379e-05
25,103.749,1.00044,2.54689,0.01503,0.95414,0.62896,0.88779,0.68408,1.51173,1.14362,0.01026,2.17741e-05,2.17741e-05,2.17741e-05
26,107.745,1.0536,2.05528,0.01691,0.95414,0.62896,0.88779,0.68408,1.51173,1.14362,0.01026,2.23869e-05,2.23869e-05,2.23869e-05
27,111.73,1.20116,1.87116,0.01355,0.91402,0.64178,0.88777,0.70181,1.51236,1.15893,0.01028,2.2976e-05,2.2976e-05,2.2976e-05
28,115.574,1.09896,1.98605,0.01565,0.91402,0.64178,0.88777,0.70181,1.51236,1.15893,0.01028,2.35417e-05,2.35417e-05,2.35417e-05
29,119.701,1.5737,1.926,0.01647,0.89362,0.65453,0.8751,0.69574,1.51144,1.22002,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,123.55,0.91088,1.88075,0.01145,0.89362,0.65453,0.8751,0.69574,1.51144,1.22002,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,128.003,0.9809,1.85288,0.01178,0.74221,0.67373,0.83567,0.68379,1.51446,1.25026,0.01014,2.50971e-05,2.50971e-05,2.50971e-05
32,132.11,1.08017,2.04721,0.01046,0.74221,0.67373,0.83567,0.68379,1.51446,1.25026,0.01014,2.55685e-05,2.55685e-05,2.55685e-05
33,136.361,1.14473,2.18702,0.01634,0.73753,0.67793,0.83855,0.68548,1.53376,1.21648,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,140.495,0.97225,1.35708,0.02018,0.73753,0.67793,0.83855,0.68548,1.53376,1.21648,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,144.56,1.08923,1.82697,0.01186,0.70627,0.67559,0.83497,0.67466,1.55202,1.25254,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,148.486,0.98491,1.59743,0.0126,0.70627,0.67559,0.83497,0.67466,1.55202,1.25254,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,153.336,1.03444,2.36575,0.02221,0.70138,0.67648,0.81076,0.66256,1.56502,1.27474,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,162,1.25367,1.78662,0.0156,0.70138,0.67648,0.81076,0.66256,1.56502,1.27474,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
39,170.022,1.14503,2.66336,0.01897,0.66205,0.66667,0.80701,0.65916,1.62297,1.19393,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,179.469,1.45608,2.2925,0.02167,0.66205,0.66667,0.80701,0.65916,1.62297,1.19393,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,191.344,1.05512,1.64989,0.01364,0.70345,0.66667,0.80519,0.65687,1.63423,1.19123,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
42,199.388,1.123,1.65546,0.01733,0.70345,0.66667,0.80519,0.65687,1.63423,1.19123,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,208.823,0.47703,2.91988,0.00952,0.69198,0.67241,0.80593,0.65773,1.63195,1.22929,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,217.002,0.99768,1.45624,0.01364,0.69198,0.67241,0.80593,0.65773,1.63195,1.22929,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,232.34,0.62151,1.59152,0.01046,0.66945,0.67474,0.80605,0.65051,1.63266,1.26597,0.01067,2.9552e-05,2.9552e-05,2.9552e-05
46,255.322,1.31262,1.81363,0.02222,0.66945,0.67474,0.80605,0.65051,1.63266,1.26597,0.01067,2.96935e-05,2.96935e-05,2.96935e-05
47,263.804,1.02237,1.22019,0.01112,0.69026,0.67484,0.79506,0.6426,1.64842,1.30117,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,272.992,1.02185,1.36211,0.01356,0.69026,0.67484,0.79506,0.6426,1.64842,1.30117,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,282.28,1.18162,1.65908,0.01441,0.68042,0.67907,0.8091,0.62934,1.66891,1.24055,0.01184,2.99766e-05,2.99766e-05,2.99766e-05
50,289.106,1.08629,1.08885,0.01329,0.68042,0.67907,0.8091,0.62934,1.66891,1.24055,0.01184,3.00238e-05,3.00238e-05,3.00238e-05
51,304.902,0.92756,1.27022,0.01052,0.68388,0.66522,0.80632,0.62392,1.69074,1.26335,0.01235,3.00475e-05,3.00475e-05,3.00475e-05
52,314.308,1.07422,1.05048,0.00953,0.68388,0.66522,0.80632,0.62392,1.69074,1.26335,0.01235,3.00476e-05,3.00476e-05,3.00476e-05
53,322.052,0.79431,1.27672,0.01236,0.68388,0.66522,0.80632,0.62392,1.69074,1.26335,0.01235,3.00242e-05,3.00242e-05,3.00242e-05
54,330.324,1.08404,1.8228,0.01844,0.79389,0.6593,0.87552,0.66497,1.70689,1.22072,0.01255,2.99772e-05,2.99772e-05,2.99772e-05
55,342.043,1.07675,1.31614,0.01102,0.79389,0.6593,0.87552,0.66497,1.70689,1.22072,0.01255,2.99066e-05,2.99066e-05,2.99066e-05
56,349.339,0.83543,1.61142,0.00837,0.79389,0.6593,0.87552,0.66497,1.70689,1.22072,0.01255,2.98125e-05,2.98125e-05,2.98125e-05
57,362.362,0.81928,1.07782,0.00982,0.86909,0.65208,0.8752,0.6731,1.70382,1.21503,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,380.399,0.81809,1.08802,0.00764,0.86909,0.65208,0.8752,0.6731,1.70382,1.21503,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,392.891,1.10466,1.37599,0.01613,0.86909,0.65208,0.8752,0.6731,1.70382,1.21503,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,406.189,1.11462,1.88958,0.01823,0.67184,0.66687,0.87464,0.65552,1.69263,1.28036,0.01297,2.92003e-05,2.92003e-05,2.92003e-05
61,413.944,0.70716,1.11126,0.00768,0.67184,0.66687,0.87464,0.65552,1.69263,1.28036,0.01297,2.89884e-05,2.89884e-05,2.89884e-05
62,422.133,0.89579,0.98104,0.01561,0.67184,0.66687,0.87464,0.65552,1.69263,1.28036,0.01297,2.87529e-05,2.87529e-05,2.87529e-05
63,429.387,1.44957,2.99181,0.03051,0.61389,0.66936,0.79264,0.58184,1.70122,1.33128,0.01309,2.84938e-05,2.84938e-05,2.84938e-05
64,435.319,0.87102,1.27486,0.00812,0.61389,0.66936,0.79264,0.58184,1.70122,1.33128,0.01309,2.82112e-05,2.82112e-05,2.82112e-05
65,441.297,1.05583,1.13748,0.0115,0.61389,0.66936,0.79264,0.58184,1.70122,1.33128,0.01309,2.7905e-05,2.7905e-05,2.7905e-05
66,449.476,0.76074,0.83056,0.01283,0.62289,0.66364,0.78888,0.58025,1.73178,1.33907,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,456.824,0.88592,0.72354,0.00821,0.62289,0.66364,0.78888,0.58025,1.73178,1.33907,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,463.242,1.13418,1.47326,0.01324,0.62289,0.66364,0.78888,0.58025,1.73178,1.33907,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,470.473,0.91345,0.978,0.01263,0.5934,0.66461,0.78884,0.56955,1.7491,1.38411,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,477.818,1.3023,1.98525,0.02069,0.5934,0.66461,0.78884,0.56955,1.7491,1.38411,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,484.148,0.80894,0.9397,0.0077,0.5934,0.66461,0.78884,0.56955,1.7491,1.38411,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,492.077,0.98727,0.82931,0.00892,0.628,0.68188,0.78861,0.56947,1.72698,1.35941,0.01358,2.5102e-05,2.5102e-05,2.5102e-05
73,501.937,0.77789,1.18588,0.0101,0.628,0.68188,0.78861,0.56947,1.72698,1.35941,0.01358,2.46073e-05,2.46073e-05,2.46073e-05
74,507.575,0.93365,1.19104,0.01092,0.628,0.68188,0.78861,0.56947,1.72698,1.35941,0.01358,2.40891e-05,2.40891e-05,2.40891e-05
75,512.725,1.18996,1.4865,0.02017,0.90936,0.47769,0.78735,0.56908,1.78304,1.3158,0.0144,2.35472e-05,2.35472e-05,2.35472e-05
